0.06010851,0.00267090,0.78242344,0.00025795,0.01402314,-0.00019148,0.99990159,0.01833726,0.11032809,0.21032175,0.14010631,-0.17425391,-0.09153789,0.01424412,-0.11907898,-0.26829305,0.13887236,-0.17796457,0.10119554,-0.02722443,-0.00847965,0.08190823,-0.05195475,0.28304037,-0.62280101,1.11093211,-0.12401868,-0.06811495,0.03175609,-0.12651359,-0.24028058,0.68322730,1.16038275,-0.09622377,-0.04151125,-0.10649397
0.06065750,0.00304269,0.78221148,0.00036484,0.01507893,-0.00105746,0.99988568,0.01708908,0.11114680,0.21350007,0.13936689,-0.17720959,-0.09156732,0.01240686,-0.11947837,-0.26738107,0.14107949,-0.18050571,0.10286970,-0.02692423,-0.00967045,0.08154061,-0.05440585,0.28454217,-0.62421870,1.11029339,-0.12182689,-0.06763878,0.02805573,-0.12628192,-0.24031933,0.68038720,1.16123962,-0.09544463,-0.04164211,-0.10539196
0.06198791,0.00274573,0.78188622,0.00024388,0.01588715,-0.00195268,0.99987185,0.01630379,0.11249084,0.21563022,0.14101504,-0.18059373,-0.09132102,0.00988500,-0.11933561,-0.26612470,0.14629948,-0.18549520,0.10335525,-0.02717599,-0.01042002,0.08217280,-0.05618650,0.28620872,-0.62582850,1.10937119,-0.11669987,-0.06816266,0.02531104,-0.12630351,-0.24062300,0.67722899,1.16172361,-0.09205221,-0.04218721,-0.10537904
0.06363413,0.00229771,0.78152877,0.00000823,0.01644508,-0.00337425,0.99985904,0.01652131,0.11441998,0.21831678,0.14397168,-0.18506305,-0.09140218,0.00742955,-0.11852148,-0.26361880,0.15252405,-0.19163492,0.10289362,-0.02737743,-0.01136458,0.08330614,-0.05621936,0.28792778,-0.62825888,1.10867071,-0.11174700,-0.06776337,0.02398947,-0.12570889,-0.24106088,0.67415845,1.16113973,-0.08965598,-0.04337242,-0.10578287
0.06566610,0.00160008,0.78117794,-0.00031591,0.01693762,-0.00538403,0.99984199,0.01758016,0.11690494,0.22200671,0.14702697,-0.19061895,-0.09211069,0.00517258,-0.11704391,-0.25955501,0.15844700,-0.19810490,0.10178610,-0.02750676,-0.01232164,0.08440259,-0.05501512,0.28932443,-0.63138473,1.10875773,-0.10810851,-0.06714342,0.02342908,-0.12384611,-0.24237171,0.67050433,1.15865064,-0.08836979,-0.04507148,-0.10588089
0.06815019,0.00095519,0.78085321,-0.00062535,0.01769294,-0.00816521,0.99980992,0.01958245,0.11957704,0.22734611,0.14914544,-0.19691123,-0.09313773,0.00286964,-0.11506032,-0.25425243,0.16380970,-0.20486926,0.10035197,-0.02793391,-0.01350900,0.08534794,-0.05286685,0.29065624,-0.63528776,1.10914385,-0.10362776,-0.06657504,0.02147565,-0.12055910,-0.24547042,0.66611326,1.15442252,-0.08785351,-0.04764807,-0.10553727
0.07098458,0.00037093,0.78056729,-0.00095046,0.01903899,-0.01183430,0.99974823,0.02125763,0.12237860,0.23439832,0.15089358,-0.20347486,-0.09424991,-0.00045086,-0.11255342,-0.24772371,0.16826810,-0.21116582,0.09863359,-0.02892459,-0.01459835,0.08624884,-0.05022746,0.29234967,-0.64005584,1.10906780,-0.09646446,-0.06642631,0.01766673,-0.11594018,-0.25105736,0.66039926,1.14965415,-0.08814289,-0.05134458,-0.10529686
0.07399646,-0.00013554,0.78022766,-0.00134907,0.02134039,-0.01642108,0.99963653,0.02165337,0.12584294,0.24407564,0.15291122,-0.21075226,-0.09550756,-0.00588922,-0.10934597,-0.23939225,0.17243300,-0.21739599,0.09628697,-0.03065506,-0.01552797,0.08748708,-0.04768015,0.29488790,-0.64609861,1.10687816,-0.08815538,-0.06679790,0.01205861,-0.10951470,-0.25993386,0.65247661,1.14512944,-0.08918756,-0.05570772,-0.10446708
0.07657075,-0.00070954,0.77980405,-0.00171206,0.02488795,-0.02209212,0.99944460,0.02043439,0.12971985,0.25644711,0.15478617,-0.21857893,-0.09655791,-0.01583204,-0.10606860,-0.22866957,0.17965758,-0.22485511,0.09309653,-0.03303523,-0.01649338,0.08976700,-0.04625189,0.29859313,-0.65345496,1.10168743,-0.07850368,-0.06788240,0.00412483,-0.10054278,-0.27259970,0.64139712,1.14162016,-0.08891340,-0.05966577,-0.10273398
0.07934515,-0.00156131,0.77928358,-0.00162899,0.02972939,-0.02898842,0.99913627,0.01784993,0.13304514,0.27179706,0.15595593,-0.22599316,-0.09731039,-0.03205229,-0.10379560,-0.21514906,0.19351205,-0.23523404,0.08923839,-0.03599985,-0.01829882,0.09391358,-0.04679525,0.30379814,-0.66065586,1.09311485,-0.06850914,-0.06871827,-0.00577551,-0.08785300,-0.28900281,0.62597644,1.13821459,-0.08668952,-0.06203404,-0.09929831
